"season","week","contestant","artist","result","song","timesOnBillboard","isOnBillboard"
"Season_05","20060221_top_12_women_perform","Becky O'Donohue","Patti Smith","Eliminated","Because the Night(Patti Smith)",0,FALSE
"Season_05","20060221_top_12_women_perform","Ayla Brown","Christina Aguilera","Safe","Reflection(Christina Aguilera)",0,FALSE
"Season_05","20060221_top_12_women_perform","Paris Bennett","Cissy Houston","Safe","Midnight Train to Georgia(Cissy Houston)",0,FALSE
"Season_05","20060221_top_12_women_perform","Stevie Scott","Josh Groban","Eliminated","To Where You Are(Josh Groban)",0,FALSE
"Season_05","20060221_top_12_women_perform","Brenna Gethers","Stevie Wonder","Safe","You Are the Sunshine of My Life(Stevie Wonder)",0,FALSE
"Season_05","20060221_top_12_women_perform","Heather Cox","Diana Ross","Safe","When You Tell Me That You Love Me(Diana Ross)",0,FALSE
"Season_05","20060221_top_12_women_perform","Melissa McGhee","Faith Hill","Safe","When the Lights Go Down(Faith Hill)",0,FALSE
"Season_05","20060221_top_12_women_perform","Lisa Tucker","Jennifer Holliday","Safe","I Am Changing(Jennifer Holliday)",0,FALSE
"Season_05","20060221_top_12_women_perform","Kinnik Sky","Oleta Adams","Safe","Get Here",23,TRUE
"Season_05","20060221_top_12_women_perform","Katharine McPhee","Ella Johnson","Safe","Since I Fell for You",0,FALSE
"Season_05","20060222_top_12_men_perform","Patrick Hall","Melissa Etheridge","Eliminated","Come to My Window(Melissa Etheridge)",0,FALSE
"Season_05","20060222_top_12_men_perform","David Radford","Queen","Safe","Crazy Little Thing Called Love(Queen)",0,FALSE
"Season_05","20060222_top_12_men_perform","Bucky Covington","Lynyrd Skynyrd","Safe","Simple Man(Lynyrd Skynyrd)",0,FALSE
"Season_05","20060222_top_12_men_perform","Will Makar","The Jackson 5","Safe","I Want You Back(The Jackson 5)",0,FALSE
"Season_05","20060222_top_12_men_perform","Sway Penala","Earth Wind & Fire","Safe","Reasons(Earth Wind & Fire)",0,FALSE
"Season_05","20060222_top_12_men_perform","Chris Daughtry","Bon Jovi","Safe","Wanted Dead or Alive(Bon Jovi)",0,FALSE
"Season_05","20060222_top_12_men_perform","Kevin Covais","Brian McKnight","Safe","One Last Cry(Brian McKnight)",0,FALSE
"Season_05","20060222_top_12_men_perform","Gedeon McKinney","The Isley Brothers","Safe","Shout(The Isley Brothers)",0,FALSE
"Season_05","20060222_top_12_men_perform","Elliott Yamin","Stevie Wonder","Safe","If You Really Love Me(Stevie Wonder)",0,FALSE
"Season_05","20060222_top_12_men_perform","Bobby Bennet","Barry Manilow","Eliminated","Copacabana(Barry Manilow)",0,FALSE
"Season_05","20060222_top_12_men_perform","Ace Young","George Michael","Safe","Father Figure",17,TRUE
"Season_05","20060222_top_12_men_perform","Taylor Hicks","Elton John","Safe","Levon",10,TRUE
"Season_05","20060228_top_10_women_perform","Katharine McPhee","Stevie Wonder","Safe","All in Love Is Fair(Stevie Wonder)",0,FALSE
"Season_05","20060228_top_10_women_perform","Kinnik Sky","Gretchen Wilson","Bottom three","Here for the Party(Gretchen Wilson)",0,FALSE
"Season_05","20060228_top_10_women_perform","Lisa Tucker","The Miracles","Safe","Who's Lovin' You(The Miracles)",0,FALSE
"Season_05","20060228_top_10_women_perform","Melissa McGhee","Reba McEntire","Safe","Why Haven't I Heard from You(Reba McEntire)",0,FALSE
"Season_05","20060228_top_10_women_perform","Heather Cox","Mariah Carey","Eliminated","Hero(Mariah Carey)",0,FALSE
"Season_05","20060228_top_10_women_perform","Brenna Gethers","Donna Summer","Eliminated","Last Dance(Donna Summer)",0,FALSE
"Season_05","20060228_top_10_women_perform","Paris Bennett","Roger Whittaker","Safe","Wind Beneath My Wings(Roger Whittaker)",0,FALSE
"Season_05","20060228_top_10_women_perform","Ayla Brown","Celine Dion","Safe","I Want You to Need Me(Celine Dion)",0,FALSE
"Season_05","20060228_top_10_women_perform","Kellie Pickler","Bonnie Raitt","Safe","Something to Talk About(Bonnie Raitt)",0,FALSE
"Season_05","20060228_top_10_women_perform","Mandisa","Angie Aparo","Safe","Cry(Angie Aparo)",0,FALSE
"Season_05","20060301_top_10_men_perform","Taylor Hicks","The Commodores","Safe","Easy(The Commodores)",0,FALSE
"Season_05","20060301_top_10_men_perform","Elliott Yamin","James Moody","Safe","Moody's Mood for Love(James Moody)",0,FALSE
"Season_05","20060301_top_10_men_perform","Ace Young","Daniel Bedingfield","Safe","If You're Not the One(Daniel Bedingfield)",0,FALSE
"Season_05","20060301_top_10_men_perform","Gedeon McKinney","Sam Cooke","Safe","A Change Is Gonna Come(Sam Cooke)",0,FALSE
"Season_05","20060301_top_10_men_perform","Kevin Covais","The Miracles","Bottom three","I Heard It Through the Grapevine(The Miracles)",0,FALSE
"Season_05","20060301_top_10_men_perform","Sway Penala","Stevie Wonder","Eliminated","Overjoyed(Stevie Wonder)",0,FALSE
"Season_05","20060301_top_10_men_perform","Will Makar","Kenny Rogers","Safe","Lady(Kenny Rogers)",0,FALSE
"Season_05","20060301_top_10_men_perform","Bucky Covington","Garth Brooks","Safe","The Thunder Rolls(Garth Brooks)",0,FALSE
"Season_05","20060301_top_10_men_perform","David Radford","Fred Astaire","Eliminated","The Way You Look Tonight(Fred Astaire)",0,FALSE
"Season_05","20060301_top_10_men_perform","Chris Daughtry","Fuel","Safe","Hemorrhage (In My Hands)(Fuel)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Paris Bennett","Gloria Estefan and Miami Sound Machine","Advanced","Conga(Gloria Estefan and Miami Sound Machine)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Lisa Tucker","Tiffany Taylor","Advanced","Here's Where I Stand(Tiffany Taylor)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Melissa McGhee","Heart","Advanced","What About Love(Heart)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Kinnik Sky","Alicia Keys","Eliminated","If I Ain't Got You(Alicia Keys)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Katharine McPhee","Aretha Franklin","Advanced","Think(Aretha Franklin)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Ayla Brown","Natasha Bedingfield","Eliminated","Unwritten(Natasha Bedingfield)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Mandisa","Chaka Khan","Advanced","I'm Every Woman(Chaka Khan)",0,FALSE
"Season_05","20060307_top_8_women_men_perform","Kellie Pickler","Melissa Etheridge","Advanced","I'm the Only One(Melissa Etheridge)",0,FALSE
"Season_05","20060308_top_8_men_perform","Gedeon McKinney","Percy Sledge","Eliminated","When a Man Loves a Woman(Percy Sledge)",0,FALSE
"Season_05","20060308_top_8_men_perform","Chris Daughtry","Seether featuring Amy Lee","Advanced","Broken(Seether featuring Amy Lee)",0,FALSE
"Season_05","20060308_top_8_men_perform","Kevin Covais","Don McLean","Advanced","Vincent(Don McLean)",0,FALSE
"Season_05","20060308_top_8_men_perform","Bucky Covington","Pat Green","Advanced","Wave on Wave(Pat Green)",0,FALSE
"Season_05","20060308_top_8_men_perform","Will Makar","Marvin Gaye","Eliminated","How Sweet It Is (To Be Loved By You)(Marvin Gaye)",0,FALSE
"Season_05","20060308_top_8_men_perform","Taylor Hicks","The Doobie Brothers","Advanced","Takin' It to the Streets(The Doobie Brothers)",0,FALSE
"Season_05","20060308_top_8_men_perform","Elliott Yamin","Bryan Adams","Advanced","Heaven(Bryan Adams)",0,FALSE
"Season_05","20060308_top_8_men_perform","Ace Young","Michael Jackson","Advanced","Butterflies(Michael Jackson)",0,FALSE
"Season_05","20060314_top_12_perform","Ace Young","Stevie Wonder","Bottom three","Do I Do",14,TRUE
"Season_05","20060314_top_12_perform","Kellie Pickler","Stevie Wonder","Safe","Blame It on the Sun",0,FALSE
"Season_05","20060314_top_12_perform","Elliott Yamin","Stevie Wonder","Safe","Knocks Me Off My Feet",20,TRUE
"Season_05","20060314_top_12_perform","Mandisa","Stevie Wonder","Safe","Don't You Worry 'bout a Thing",0,FALSE
"Season_05","20060314_top_12_perform","Bucky Covington","Stevie Wonder","Safe","Superstition",16,TRUE
"Season_05","20060314_top_12_perform","Melissa McGhee","Mike Sherm","Eliminated","Lately",71,TRUE
"Season_05","20060314_top_12_perform","Lisa Tucker","Stevie Wonder","Bottom two","Signed, Sealed, Delivered I'm Yours",14,TRUE
"Season_05","20060314_top_12_perform","Kevin Covais","Stevie Wonder","Safe","Part-Time Lover",21,TRUE
"Season_05","20060314_top_12_perform","Katharine McPhee","Aretha Franklin","Safe","Until You Come Back to Me",0,FALSE
"Season_05","20060314_top_12_perform","Taylor Hicks","Stevie Wonder","Safe","Living for the City",0,FALSE
"Season_05","20060314_top_12_perform","Paris Bennett","Stevie Wonder","Safe","All I Do",11,TRUE
"Season_05","20060314_top_12_perform","Chris Daughtry","Stevie Wonder","Safe","Higher Ground",34,TRUE
"Season_05","20060321_top_11_perform","Mandisa","Hank Snow","Safe","I Don't Hurt Anymore(Hank Snow)",0,FALSE
"Season_05","20060321_top_11_perform","Bucky Covington","Buddy Holly","Bottom two","Oh, Boy!(Buddy Holly)",0,FALSE
"Season_05","20060321_top_11_perform","Paris Bennett","Little Willie John","Safe","Fever(Little Willie John)",0,FALSE
"Season_05","20060321_top_11_perform","Chris Daughtry","Johnny Cash","Safe","I Walk the Line(Johnny Cash)",0,FALSE
"Season_05","20060321_top_11_perform","Katharine McPhee","Sy Oliver","Safe","Come Rain or Come Shine(Sy Oliver)",0,FALSE
"Season_05","20060321_top_11_perform","Taylor Hicks","The Crickets featuring Buddy Holly","Safe","Not Fade Away(The Crickets featuring Buddy Holly)",0,FALSE
"Season_05","20060321_top_11_perform","Lisa Tucker","Frankie Lymon and the Teenagers","Bottom three","Why Do Fools Fall in Love?(Frankie Lymon and the Teenagers)",0,FALSE
"Season_05","20060321_top_11_perform","Kevin Covais","Doris Day","Eliminated","When I Fall in Love(Doris Day)",0,FALSE
"Season_05","20060321_top_11_perform","Elliott Yamin","The DeCastro Sisters","Safe","Teach Me Tonight(The DeCastro Sisters)",0,FALSE
"Season_05","20060321_top_11_perform","Kellie Pickler","Patsy Cline","Safe","Walkin' After Midnight(Patsy Cline)",0,FALSE
"Season_05","20060321_top_11_perform","Ace Young","The Five Satins","Safe","In the Still of the Night",0,FALSE
"Season_05","20060328_top_10_perform","Lisa Tucker","Kelly Clarkson","Eliminated","Because of You(Kelly Clarkson)",0,FALSE
"Season_05","20060328_top_10_perform","Kellie Pickler","Sara Evans","Safe","Suds in the Bucket(Sara Evans)",0,FALSE
"Season_05","20060328_top_10_perform","Ace Young","Train","Bottom three","Drops of Jupiter (Tell Me)(Train)",0,FALSE
"Season_05","20060328_top_10_perform","Taylor Hicks","Ray LaMontagne","Safe","Trouble(Ray LaMontagne)",0,FALSE
"Season_05","20060328_top_10_perform","Mandisa","Mary Mary","Safe","Shackles (Praise You)(Mary Mary)",0,FALSE
"Season_05","20060328_top_10_perform","Chris Daughtry","Creed","Safe","What If(Creed)",0,FALSE
"Season_05","20060328_top_10_perform","Katharine McPhee","Christina Aguilera","Bottom two","The Voice Within(Christina Aguilera)",0,FALSE
"Season_05","20060328_top_10_perform","Bucky Covington","Tim McGraw","Safe","Real Good Man(Tim McGraw)",0,FALSE
"Season_05","20060328_top_10_perform","Paris Bennett","Beyoncé","Safe","Work It Out(Beyoncé)",0,FALSE
"Season_05","20060328_top_10_perform","Elliott Yamin","Gavin DeGraw","Safe","I Don't Want to Be(Gavin DeGraw)",0,FALSE
"Season_05","20060404_top_9_perform","Taylor Hicks","John Denver","Safe","Take Me Home, Country Roads(John Denver)",0,FALSE
"Season_05","20060404_top_9_perform","Mandisa","Shania Twain","Eliminated","Any Man of Mine(Shania Twain)",0,FALSE
"Season_05","20060404_top_9_perform","Elliott Yamin","Garth Brooks","Bottom two","If Tomorrow Never Comes(Garth Brooks)",0,FALSE
"Season_05","20060404_top_9_perform","Paris Bennett","LeAnn Rimes","Bottom three","How Do I Live(LeAnn Rimes)",0,FALSE
"Season_05","20060404_top_9_perform","Ace Young","Keith Urban","Safe","Tonight I Wanna Cry(Keith Urban)",0,FALSE
"Season_05","20060404_top_9_perform","Kellie Pickler","Bobbie Gentry","Safe","Fancy(Bobbie Gentry)",0,FALSE
"Season_05","20060404_top_9_perform","Chris Daughtry","Keith Urban","Safe","Making Memories of Us(Keith Urban)",0,FALSE
"Season_05","20060404_top_9_perform","Katharine McPhee","Faith Hill","Safe","Bringing Out the Elvis in Me(Faith Hill)",0,FALSE
"Season_05","20060404_top_9_perform","Bucky Covington","Vertical Horizon","Safe","Best I Ever Had (Grey Sky Morning)(Vertical Horizon)",0,FALSE
"Season_05","20060411_top_8_perform","Bucky Covington","Queen","Eliminated","Fat Bottomed Girls",1,TRUE
"Season_05","20060411_top_8_perform","Ace Young","Queen","Bottom three","We Will Rock You",5,TRUE
"Season_05","20060411_top_8_perform","Kellie Pickler","Queen","Safe","Bohemian Rhapsody",46,TRUE
"Season_05","20060411_top_8_perform","Chris Daughtry","Queen","Safe","Innuendo",0,FALSE
"Season_05","20060411_top_8_perform","Katharine McPhee","Queen","Safe","Who Wants to Live Forever",0,FALSE
"Season_05","20060411_top_8_perform","Elliott Yamin","Queen","Bottom three","Somebody To Love",72,TRUE
"Season_05","20060411_top_8_perform","Taylor Hicks","Queen","Safe","Crazy Little Thing Called Love",32,TRUE
"Season_05","20060411_top_8_perform","Paris Bennett","Queen","Safe","The Show Must Go On",19,TRUE
"Season_05","20060418_top_7_perform","Chris Daughtry","Louis Armstrong","Bottom two","What a Wonderful World(Louis Armstrong)",0,FALSE
"Season_05","20060418_top_7_perform","Paris Bennett","Billie Holiday","Bottom three","These Foolish Things(Billie Holiday)",0,FALSE
"Season_05","20060418_top_7_perform","Taylor Hicks","Sam Cooke","Safe","You Send Me(Sam Cooke)",0,FALSE
"Season_05","20060418_top_7_perform","Elliott Yamin","Sam Lanin and his Orchestra","Safe","It Had To Be You(Sam Lanin and his Orchestra)",0,FALSE
"Season_05","20060418_top_7_perform","Kellie Pickler","Vivienne Segal","Safe","Bewitched, Bothered, and Bewildered(Vivienne Segal)",0,FALSE
"Season_05","20060418_top_7_perform","Ace Young","Nat King Cole","Eliminated","That's All(Nat King Cole)",0,FALSE
"Season_05","20060418_top_7_perform","Katharine McPhee","Gertrude Lawrence","Safe","Someone to Watch Over Me(Gertrude Lawrence)",0,FALSE
"Season_05","20060425_top_6_perform","Katharine McPhee","Whitney Houston","Top two","I Have Nothing(Whitney Houston)",0,FALSE
"Season_05","20060425_top_6_perform","Elliott Yamin","Leon Russell","Safe","A Song for You(Leon Russell)",0,FALSE
"Season_05","20060425_top_6_perform","Kellie Pickler","Todd Duncan","Eliminated","Unchained Melody(Todd Duncan)",0,FALSE
"Season_05","20060425_top_6_perform","Paris Bennett","Barbra Streisand","Bottom two","The Way We Were(Barbra Streisand)",0,FALSE
"Season_05","20060425_top_6_perform","Taylor Hicks","James Ingram","Safe","Just Once(James Ingram)",0,FALSE
"Season_05","20060425_top_6_perform","Chris Daughtry","Bryan Adams","Top two","Have You Ever Really Loved a Woman?(Bryan Adams)",0,FALSE
"Season_05","20060502_top_5_perform","Elliott Yamin","The Crystals","Bottom two","On Broadway(The Crystals)",0,FALSE
"Season_05","20060502_top_5_perform","Paris Bennett","Prince and The Revolution","Eliminated","Kiss(Prince and The Revolution)",0,FALSE
"Season_05","20060502_top_5_perform","Chris Daughtry","Styx","Safe","Renegade(Styx)",0,FALSE
"Season_05","20060502_top_5_perform","Katharine McPhee","Phil Collins","Safe","Against All Odds (Take a Look at Me Now)(Phil Collins)",0,FALSE
"Season_05","20060502_top_5_perform","Taylor Hicks","Wild Cherry","Safe","Play That Funky Music(Wild Cherry)",0,FALSE
"Season_05","20060502_top_5_perform","Elliott Yamin","Michael Bublé","Bottom two","Home(Michael Bublé)",0,FALSE
"Season_05","20060502_top_5_perform","Paris Bennett","Mary J. Blige","Eliminated","Be Without You(Mary J. Blige)",0,FALSE
"Season_05","20060502_top_5_perform","Chris Daughtry","Shinedown","Safe","I Dare You(Shinedown)",0,FALSE
"Season_05","20060502_top_5_perform","Katharine McPhee","KT Tunstall","Safe","Black Horse and the Cherry Tree(KT Tunstall)",0,FALSE
"Season_05","20060502_top_5_perform","Taylor Hicks","The Beatles","Safe","Something(The Beatles)",0,FALSE
"Season_05","20060509_top_4_perform","Taylor Hicks","Elvis Presley","Safe","Jailhouse Rock",0,FALSE
"Season_05","20060509_top_4_perform","Chris Daughtry","Elvis Presley","Eliminated","Suspicious Minds",20,TRUE
"Season_05","20060509_top_4_perform","Elliott Yamin","Elvis Presley","Safe","If I Can Dream",13,TRUE
"Season_05","20060509_top_4_perform","Katharine McPhee","Elvis Presley","Bottom two","Hound Dog / All Shook Up",0,FALSE
"Season_05","20060509_top_4_perform","Taylor Hicks","Elvis Presley","Safe","In the Ghetto",0,FALSE
"Season_05","20060509_top_4_perform","Chris Daughtry","Elvis Presley,Junkie XL","Eliminated","A Little Less Conversation",13,TRUE
"Season_05","20060509_top_4_perform","Elliott Yamin","Josh Ross","Safe","Trouble",43,TRUE
"Season_05","20060509_top_4_perform","Katharine McPhee","Elvis Presley","Bottom two","Can't Help Falling in Love",0,FALSE
"Season_05","20060516_top_3_perform","Elliott Yamin","Journey","Third place","Open Arms(Journey)",0,FALSE
"Season_05","20060516_top_3_perform","Katharine McPhee","R. Kelly","Safe","I Believe I Can Fly",1,TRUE
"Season_05","20060516_top_3_perform","Taylor Hicks","Bruce Springsteen","Safe","Dancing in the Dark",0,FALSE
"Season_05","20060516_top_3_perform","Elliott Yamin","Bobby Caldwell","Third place","What You Won't Do for Love",0,FALSE
"Season_05","20060516_top_3_perform","Katharine McPhee","Judy Garland","Safe","Over the Rainbow",0,FALSE
"Season_05","20060516_top_3_perform","Taylor Hicks","Billy Preston","Safe","You Are So Beautiful",0,FALSE
"Season_05","20060516_top_3_perform","Elliott Yamin","Ray Charles","Third place","I Believe to My Soul",0,FALSE
"Season_05","20060516_top_3_perform","Katharine McPhee","Al Hibbler","Safe","I Ain't Got Nothin' But the Blues",0,FALSE
"Season_05","20060516_top_3_perform","Taylor Hicks","Val Rosing","Safe","Try a Little Tenderness",0,FALSE
"Season_05","20060523_top_2_perform","Katharine McPhee","KT Tunstall","Runner-Up","Black Horse and the Cherry Tree",0,FALSE
"Season_05","20060523_top_2_perform","Taylor Hicks","Stevie Wonder","Winner","Living for the City",0,FALSE
"Season_05","20060523_top_2_perform","Katharine McPhee","Israel Kamakawiwo'ole","Runner-Up","Over The Rainbow",21,TRUE
"Season_05","20060523_top_2_perform","Taylor Hicks","Elton John","Winner","Levon",10,TRUE
"Season_05","20060523_top_2_perform","Katharine McPhee","Lionel Richie","Runner-Up","My Destiny",2,TRUE
"Season_05","20060523_top_2_perform","Taylor Hicks","Taylor Hicks","Winner","Do I Make You Proud",8,TRUE
"Season_06","20070220_top_12_men_perform","Stephanie Edwards","Alicia Keys","Safe","How Come U Don't Call Me Anymore?",0,FALSE
"Season_06","20070220_top_12_men_perform","Amy Krebs","Bonnie Raitt","Eliminated","I Can't Make You Love Me",21,TRUE
"Season_06","20070220_top_12_men_perform","Leslie Hunt","Aretha Franklin","Safe","(You Make Me Feel Like) A Natural Woman",0,FALSE
"Season_06","20070220_top_12_men_perform","Sabrina Sloan","Aretha Franklin","Safe","I Never Loved a Man (The Way I Love You)",0,FALSE
"Season_06","20070220_top_12_men_perform","Antonella Barba","Aerosmith","Safe","I Don't Want to Miss a Thing",0,FALSE
"Season_06","20070220_top_12_men_perform","Jordin Sparks","Tracy Chapman","Safe","Give Me One Reason",39,TRUE
"Season_06","20070220_top_12_men_perform","Nicole Tranquillo","Chaka Khan","Eliminated","Stay",271,TRUE
"Season_06","20070220_top_12_men_perform","Haley Scarnato","Pandora's Box","Safe","It's All Coming Back to Me Now",0,FALSE
"Season_06","20070220_top_12_men_perform","Melinda Doolittle","Aretha Franklin","Safe","(Sweet Sweet Baby) Since You've Been Gone",12,TRUE
"Season_06","20070220_top_12_men_perform","Alaina Alexander","The Pretenders","Safe","Brass in Pocket",0,FALSE
"Season_06","20070220_top_12_men_perform","Gina Glocksen","Eric Carmen","Safe","All by Myself",0,FALSE
"Season_06","20070220_top_12_men_perform","Lakisha Jones","Jennifer Holliday","Safe","And I Am Telling You I'm Not Going",28,TRUE
"Season_06","20070221_top_12_women_perform","Rudy Cardenas","Edgar Winter Group","Eliminated","Free Ride",21,TRUE
"Season_06","20070221_top_12_women_perform","Brandon Rogers","Michael Jackson","Safe","Rock with You",0,FALSE
"Season_06","20070221_top_12_women_perform","Sundance Head","The Moody Blues","Safe","Nights in White Satin",0,FALSE
"Season_06","20070221_top_12_women_perform","Paul Kim","Wham!","Eliminated","Careless Whisper",40,TRUE
"Season_06","20070221_top_12_women_perform","Chris Richardson","Gavin DeGraw","Safe","I Don't Want to Be",0,FALSE
"Season_06","20070221_top_12_women_perform","Nick Pedro","Richard Marx","Safe","Now and Forever",0,FALSE
"Season_06","20070221_top_12_women_perform","Blake Lewis","Keane","Safe","Somewhere Only We Know",13,TRUE
"Season_06","20070221_top_12_women_perform","Sanjaya Malakar","Stevie Wonder","Safe","Knocks Me Off My Feet",20,TRUE
"Season_06","20070221_top_12_women_perform","Chris Sligh","Mutemath","Safe","Typical",0,FALSE
"Season_06","20070221_top_12_women_perform","Jared Cotter","Brian McKnight","Safe","Back at One",0,FALSE
"Season_06","20070221_top_12_women_perform","Aj Tabaldo","Luther Vandross","Safe","Never Too Much",15,TRUE
"Season_06","20070221_top_12_women_perform","Phil Stacey","Edwin McCain","Safe","I Could Not Ask for More",0,FALSE
"Season_06","20070227_top_10_men_perform","Gina Glocksen","i-TEN","Safe","Alone",96,TRUE
"Season_06","20070227_top_10_men_perform","Alaina Alexander","Dixie Chicks","Eliminated","Not Ready to Make Nice",0,FALSE
"Season_06","20070227_top_10_men_perform","LaKisha Jones","Gladys Knight & the Pips","Safe","Midnight Train to Georgia",0,FALSE
"Season_06","20070227_top_10_men_perform","Melinda Doolittle","Chaka Khan","Safe","My Funny Valentine",0,FALSE
"Season_06","20070227_top_10_men_perform","Antonella Barba","Celine Dion","Safe","Because You Loved Me",0,FALSE
"Season_06","20070227_top_10_men_perform","Jordin Sparks","Christina Aguilera","Safe","Reflection",0,FALSE
"Season_06","20070227_top_10_men_perform","Stephanie Edwards","Beyoncé","Safe","Dangerously in Love",0,FALSE
"Season_06","20070227_top_10_men_perform","Leslie Hunt","Cy Grant","Eliminated","Feeling Good",0,FALSE
"Season_06","20070227_top_10_men_perform","Haley Scarnato","Whitney Houston","Safe","Queen of the Night",0,FALSE
"Season_06","20070227_top_10_men_perform","Sabrina Sloan","Whitney Houston","Safe","All the Man That I Need",0,FALSE
"Season_06","20070228_top_10_women_perform","Phil Stacey","John Waite","Safe","Missing You",122,TRUE
"Season_06","20070228_top_10_women_perform","Jared Cotter","Marvin Gaye","Safe","Let's Get It On",28,TRUE
"Season_06","20070228_top_10_women_perform","AJ Tabaldo","Cy Grant","Eliminated","Feeling Good",0,FALSE
"Season_06","20070228_top_10_women_perform","Sanjaya Malakar","Tony Bennett","Safe","Steppin' Out with My Baby",0,FALSE
"Season_06","20070228_top_10_women_perform","Chris Sligh","Ray LaMontagne","Safe","Trouble",43,TRUE
"Season_06","20070228_top_10_women_perform","Nick Pedro","Little Willie John","Eliminated","Fever",26,TRUE
"Season_06","20070228_top_10_women_perform","Blake Lewis","Jamiroquai","Safe","Virtual Insanity",0,FALSE
"Season_06","20070228_top_10_women_perform","Brandon Rogers","Cyndi Lauper","Safe","Time After Time",68,TRUE
"Season_06","20070228_top_10_women_perform","Chris Richardson","Jason Mraz","Safe","Geek in the Pink",0,FALSE
"Season_06","20070228_top_10_women_perform","Sundance Head","Mack Rice","Safe","Mustang Sally",9,TRUE
"Season_06","20070306_top_8_men_perform","Jordin Sparks","Pat Benatar","Advanced","Heartbreaker",78,TRUE
"Season_06","20070306_top_8_men_perform","Sabrina Sloan","En Vogue","Eliminated","Don't Let Go (Love)",35,TRUE
"Season_06","20070306_top_8_men_perform","Antonella Barba","Corinne Bailey Rae","Eliminated","Put Your Records On",44,TRUE
"Season_06","20070306_top_8_men_perform","Haley Scarnato","Faith Hill","Advanced","If My Heart Had Wings",18,TRUE
"Season_06","20070306_top_8_men_perform","Stephanie Edwards","Chaka Khan","Advanced","Sweet Thing",66,TRUE
"Season_06","20070306_top_8_men_perform","Lakisha Jones","Whitney Houston","Advanced","I Have Nothing",21,TRUE
"Season_06","20070306_top_8_men_perform","Gina Glocksen","Evanescence","Advanced","Call Me When You're Sober",22,TRUE
"Season_06","20070306_top_8_men_perform","Melinda Doolittle","Peggy Lee","Advanced","I'm a Woman",0,FALSE
"Season_06","20070307_top_8_women_perform","Blake Lewis","311","Advanced","All Mixed Up",0,FALSE
"Season_06","20070307_top_8_women_perform","Sanjaya Malakar","John Mayer","Advanced","Waiting on the World to Change",0,FALSE
"Season_06","20070307_top_8_women_perform","Sundance Head","Pearl Jam","Eliminated","Jeremy",0,FALSE
"Season_06","20070307_top_8_women_perform","Jared Cotter","Stevie Wonder","Eliminated","If You Really Love Me",14,TRUE
"Season_06","20070307_top_8_women_perform","Chris Richardson","Keith Urban","Advanced","Tonight I Wanna Cry",20,TRUE
"Season_06","20070307_top_8_women_perform","Brandon Rogers","Rare Earth","Advanced","I Just Want to Celebrate",0,FALSE
"Season_06","20070307_top_8_women_perform","Phil Stacey","LeAnn Rimes","Advanced","I Need You",105,TRUE
"Season_06","20070307_top_8_women_perform","Chris Sligh","dc Talk","Advanced","Wanna Be Loved",0,FALSE
"Season_06","20070313_top_12_perform","Brandon Rogers","The Supremes","Eliminated","You Can't Hurry Love",34,TRUE
"Season_06","20070313_top_12_perform","Melinda Doolittle","Edward Sharpe & The Magnetic Zeros","Safe","Home",152,TRUE
"Season_06","20070313_top_12_perform","Chris Sligh","Lionel Richie & Diana Ross","Safe","Endless Love",48,TRUE
"Season_06","20070313_top_12_perform","Gina Glocksen","Diana Ross & The Supremes","Safe","Love Child",31,TRUE
"Season_06","20070313_top_12_perform","Sanjaya Malakar","Marvin Gaye & Tammi Terrell","Bottom two","Aint No Mountain High Enough",0,FALSE
"Season_06","20070313_top_12_perform","Haley Scarnato","John Waite","Safe","Missing You",122,TRUE
"Season_06","20070313_top_12_perform","Phil Stacey","Dee Dee Warwick","Bottom three","I'm Gonna Make You Love Me",30,TRUE
"Season_06","20070313_top_12_perform","Lakisha Jones","Billie Holiday","Safe","God Bless the Child",0,FALSE
"Season_06","20070313_top_12_perform","Blake Lewis","The Supremes","Safe","You Keep Me Hanging On",3,TRUE
"Season_06","20070313_top_12_perform","Stephanie Edwards","Diana Ross","Safe","Love Hangover",22,TRUE
"Season_06","20070313_top_12_perform","Chris Richardson","James Brown,The J.B.'s","Safe","The Boss",36,TRUE
"Season_06","20070313_top_12_perform","Jordin Sparks","Diana Ross","Safe","If We Hold On Together",0,FALSE
"Season_06","20070320_top_11_perform","Haley Scarnato","The Exciters","Safe","Tell Him",23,TRUE
"Season_06","20070320_top_11_perform","Chris Richardson","Gerry And The Pacemakers","Bottom two","Don't Let the Sun Catch You Crying",0,FALSE
"Season_06","20070320_top_11_perform","Stephanie Edwards","Dusty Springfield","Eliminated","You Don't Have to Say You Love Me",0,FALSE
"Season_06","20070320_top_11_perform","Blake Lewis","The Zombies","Safe","Time of the Season",0,FALSE
"Season_06","20070320_top_11_perform","Lakisha Jones","Shirley Bassey","Safe","Diamonds Are Forever",9,TRUE
"Season_06","20070320_top_11_perform","Phil Stacey","The Nashville Teens","Safe","Tobacco Road",13,TRUE
"Season_06","20070320_top_11_perform","Jordin Sparks","Ben E. King","Safe","I (Who Have Nothing)",37,TRUE
